,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
hypothetical protein_430,366,Domain of unknown function (DUF4410),-,806,394305,+,-,-,-,-,-,-,-,-,-,-,-,DUF4410
RecBCD enzyme subunit RecB,389,UvrD-like helicase C-terminal domain,-,2855,416385,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_292,390,-,-,608,419657,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_532,391,Dicarboxylate transport,-,3137,420522,+,-,-,-,-,-,-,-,-,-,-,-,DctA-YdbH
hypothetical protein_533,392,YnbE-like lipoprotein,ynbE,248,423656,+,-,-,-,-,-,-,-,-,-,-,-,Lipoprotein_19
hypothetical protein_240,393,Protein of unknown function (DUF1318),-,335,423904,+,-,-,-,-,-,-,-,-,-,-,-,DUF1318
hypothetical protein_615,398,-,-,230,425882,-,-,-,-,-,-,-,-,-,-,-,-,RHH_1
hypothetical protein_616,401,"TIGRFAM nucleotidyltransferase substrate binding protein, HI0074",-,419,426623,-,-,-,-,-,-,-,-,-,-,-,-,NTase_sub_bind
hypothetical protein_134,431,smart pdz dhr glgf,-,1166,452651,-,-,-,-,-,-,-,-,-,-,-,-,"Cofac_haem_bdg,PDZ_2"
hypothetical protein_483,432,-,-,596,453851,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_133,436,PFAM CreA,-,467,457397,+,-,-,ko:K05805,-,-,-,-,ko00000,-,-,-,CreA
hypothetical protein_482,437,signal-transduction protein containing cAMP-binding and CBS domains,kdsD,419,458067,-,-,5.3.1.13,ko:K06041,"ko00540,ko01100,map00540,map01100",M00063,R01530,RC00541,"ko00000,ko00001,ko00002,ko01000,ko01005",-,-,-,"CBS,SIS"
hypothetical protein_481,438,alpha beta,-,1388,458807,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_480,439,Belongs to the glutamate synthase family,-,1595,460333,-,-,-,-,-,-,-,-,-,-,-,-,Glu_synthase
hypothetical protein_132,441,SpoIIAA-like,-,362,463003,+,-,-,-,-,-,-,-,-,-,-,-,SpoIIAA-like
hypothetical protein_478,447,Cytochrome P460,-,557,467482,-,-,-,-,-,-,-,-,-,-,-,-,Cytochrome_P460
RCS-specific HTH-type transcriptional activator RclR,448,Cupin,-,896,468163,+,-,-,-,-,-,-,-,-,-,-,-,"Cupin_6,HTH_18"
Beta-barrel assembly-enhancing protease_620,450,chaperone-mediated protein folding,-,1076,470527,+,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M48
hypothetical protein_190,451,-,-,338,471731,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_597,453,Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family,-,1301,473051,+,-,-,-,-,-,-,-,-,-,-,-,SNF
hypothetical protein_598,454,Domain of unknown function (DUF4202),-,590,474405,-,-,-,-,-,-,-,-,-,-,-,-,DUF4202
Ferrous-iron efflux pump FieF,457,cation diffusion facilitator family transporter,-,968,476541,+,-,-,-,-,-,-,-,-,-,-,-,Cation_efflux
hypothetical protein_307,475,-,-,1217,491301,+,-,-,-,-,-,-,-,-,-,-,-,-
Chromate transport protein,480,Chromate transporter,-,1229,497110,-,-,-,-,-,-,-,-,-,-,-,-,Chromate_transp
hypothetical protein_534,484,Type I restriction modification DNA specificity domain,-,1733,502653,+,-,3.1.21.3,ko:K01154,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,Methylase_S
hypothetical protein_535,489,Putative restriction endonuclease,-,569,506620,-,-,-,-,-,-,-,-,-,-,-,-,Uma2
hypothetical protein_536,496,-,-,1280,512148,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_376,497,-,-,779,513464,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_375,498,Sulfotransferase family,-,2084,514443,-,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_3
hypothetical protein_374,499,Prolyl 4-hydroxylase alpha subunit homologues.,-,1391,516540,-,-,-,-,-,-,-,-,-,-,-,-,2OG-FeII_Oxy_3
hypothetical protein_373,500,GDP-fucose protein O-fucosyltransferase,-,935,517991,+,-,-,-,-,-,-,-,-,-,-,-,O-FucT
hypothetical protein_372,501,Protein of unknown function (DUF1826),-,743,518912,-,-,-,-,-,-,-,-,-,-,-,-,DUF1826
hypothetical protein_371,502,-,-,731,519804,+,-,-,-,-,-,-,-,-,-,-,-,-
Exopolysaccharide glucosyl ketal-pyruvate-transferase,503,Polysaccharide pyruvyl transferase,-,767,520528,+,-,-,-,-,-,-,-,-,-,-,-,PS_pyruv_trans
hypothetical protein_370,504,Aspartyl/Asparaginyl beta-hydroxylase,-,791,521292,+,-,-,-,-,-,-,-,-,-,-,-,Asp_Arg_Hydrox
Intermembrane transport protein PqiA,505,PFAM Paraquat-inducible protein A,-,1334,522321,+,-,-,ko:K03808,-,-,-,-,ko00000,-,-,-,PqiA
Intermembrane transport protein PqiB,506,PFAM Mammalian cell entry related,-,1643,523648,+,-,-,ko:K06192,-,-,-,-,ko00000,-,-,-,MlaD
Intermembrane transport lipoprotein PqiC,507,ABC-type transport auxiliary lipoprotein component,-,626,525288,+,-,-,ko:K09857,-,-,-,-,ko00000,-,-,-,ABC_trans_aux
Proline/betaine transporter,509,Sugar (and other) transporter,-,1370,527309,+,-,-,ko:K03762,-,-,-,-,"ko00000,ko02000",2.A.1.6.4,-,-,Sugar_tr
Arylamine N-acetyltransferase,510,Belongs to the arylamine N-acetyltransferase family,-,842,528664,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_2
hypothetical protein_88,517,-,-,578,533830,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_87,521,-,-,569,537274,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_86,524,Ribonucleotide reductase subunit alpha,-,389,544073,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_85,527,-,-,218,546149,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_84,532,-,-,830,550563,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_83,533,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease",-,581,551571,-,-,-,-,-,-,-,-,-,-,-,-,RNase_T
hypothetical protein_369,535,-,-,320,553080,+,-,-,-,-,-,-,-,-,-,-,-,-
Cobalt-zinc-cadmium resistance protein CzcB,540,Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,-,1205,558447,-,-,-,ko:K15727,-,-,-,-,"ko00000,ko02000",8.A.1.2.1,-,-,HlyD_D23
Cobalt-zinc-cadmium resistance protein CzcC,541,COG1538 Outer membrane protein,czcC,1313,559652,-,-,-,ko:K15725,-,-,-,-,"ko00000,ko02000",1.B.17.2.2,-,-,OEP
hypothetical protein_368,542,-,-,269,561049,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_231,579,ATPases of PP-loop superfamily,-,755,601400,+,-,-,-,-,-,-,-,-,-,-,-,Diphthami_syn_2
Vitamin B12-binding protein,580,"COG0614 ABC-type Fe3 -hydroxamate transport system, periplasmic component",-,923,602157,+,-,-,-,-,-,-,-,-,-,-,-,Peripla_BP_2
hypothetical protein_143,581,-,-,557,603123,+,-,-,-,-,-,-,-,-,-,-,-,-
Maltodextrin phosphorylase,586,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties",-,2528,606465,+,-,2.4.1.1,ko:K00688,"ko00500,ko01100,ko01110,ko02026,ko04217,ko04910,ko04922,ko04931,map00500,map01100,map01110,map02026,map04217,map04910,map04922,map04931",-,R02111,-,"ko00000,ko00001,ko01000",-,GT35,-,Phosphorylase
Glucose-1-phosphate adenylyltransferase,587,"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans",glgC,1265,609054,+,-,2.7.7.27,ko:K00975,"ko00500,ko00520,ko01100,ko01110,ko02026,map00500,map00520,map01100,map01110,map02026",M00565,R00948,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,NTP_transferase
Glycogen synthase,589,"Synthesizes alpha-1,4-glucan chains using ADP-glucose",glgA,1562,612045,+,-,2.4.1.21,ko:K00703,"ko00500,ko01100,ko01110,ko02026,map00500,map01100,map01110,map02026",M00565,R02421,RC00005,"ko00000,ko00001,ko00002,ko01000,ko01003",-,GT5,-,"Glyco_transf_5,Glycos_transf_1"
hypothetical protein_516,595,-,-,1472,618837,-,-,-,-,-,-,-,-,-,-,-,-,-
Glutathionyl-hydroquinone reductase YqjG,599,Glutathione S-transferase,-,1004,622211,-,-,1.8.5.7,ko:K07393,-,-,-,-,"ko00000,ko01000",-,-,-,"GST_C_2,GST_N_2"
putative protein_528,602,Membrane,-,1325,625800,-,-,-,-,-,-,-,-,-,-,-,-,DUF2254
hypothetical protein_529,604,SseB protein N-terminal domain,-,437,628389,-,-,-,-,-,-,-,-,-,-,-,-,SseB
"Glycerophosphodiester phosphodiesterase, cytoplasmic",606,PFAM Glycerophosphoryl diester phosphodiesterase,-,770,630964,+,-,3.1.4.46,ko:K01126,"ko00564,map00564",-,"R01030,R01470","RC00017,RC00425","ko00000,ko00001,ko01000",-,-,-,GDPD
"Propane 2-monooxygenase, reductase component_157",607,PFAM Oxidoreductase FAD NAD(P)-binding,-,665,631818,-,-,1.6.2.2,ko:K00326,"ko00520,map00520",-,R00100,-,"ko00000,ko00001,ko01000",-,-,-,"FAD_binding_6,NAD_binding_1"
putative FAD-linked oxidoreductase,616,PFAM FAD linked oxidase domain protein,glcE,1073,642187,-,-,-,ko:K11472,"ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130",-,R00475,RC00042,"ko00000,ko00001",-,-,-,"FAD-oxidase_C,FAD_binding_4"
Intermembrane phospholipid transport system binding protein MlaC_621,634,intermembrane phospholipid transfer,-,683,662999,+,-,-,ko:K07323,"ko02010,map02010",M00210,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27.3,-,-,MlaC
hypothetical protein_622,635,Lipocalin-like domain,-,1169,663633,-,-,-,-,-,-,-,-,-,-,-,-,"CrtC,Lipocalin_9"
hypothetical protein_26,636,"ABC-type transport system, involved in lipoprotein release, permease component",-,2513,664804,-,-,-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"FtsX,MacB_PCD"
hypothetical protein_291,638,-,-,794,668277,+,-,-,-,-,-,-,-,-,-,-,-,-
Beta-barrel assembly-enhancing protease_290,639,Peptidase family M48,-,1172,669068,+,-,-,-,-,-,-,-,-,-,-,-,Peptidase_M48
hypothetical protein_289,640,-,-,599,670237,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_2,641,Protein of unknown function (DUF1722),-,896,670865,-,-,-,-,-,-,-,-,-,-,-,-,"DUF1722,DUF523"
hypothetical protein_25,643,ribonuclease BN,-,980,672339,-,-,-,ko:K07058,-,-,-,-,ko00000,-,-,-,Virul_fac_BrkB
hypothetical protein_288,645,Domain of unknown function (DUF4112),-,395,673842,+,-,-,-,-,-,-,-,-,-,-,-,DUF4112
hypothetical protein_287,646,Endonuclease/Exonuclease/phosphatase family,-,1073,674277,+,-,-,-,-,-,-,-,-,-,-,-,Exo_endo_phos
hypothetical protein_286,649,Chain length determinant protein,-,1070,677913,-,-,-,-,-,-,-,-,-,-,-,-,Wzz
Intermembrane phospholipid transport system binding protein MlaC,650,PFAM toluene tolerance,-,665,679200,-,-,-,ko:K07323,"ko02010,map02010",M00210,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27.3,-,-,MlaC
hypothetical protein_285,652,PRC-barrel domain,-,437,679989,-,-,-,-,-,-,-,-,-,-,-,-,PRC
hypothetical protein_284,653,PFAM PRC-barrel domain,-,569,681084,+,-,-,-,-,-,-,-,-,-,-,-,PRC
Glucans biosynthesis protein G,654,Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs),-,1553,682004,+,-,-,ko:K03670,-,-,-,-,ko00000,-,-,-,MdoG
Glucans biosynthesis glucosyltransferase H,655,PFAM Glycosyl transferase family 2,-,1985,683529,+,-,-,ko:K03669,-,-,-,-,"ko00000,ko01000,ko01003,ko02000",4.D.3.1.1,GT2,-,"Glyco_trans_2_3,Glycos_transf_2"
hypothetical protein_192,656,DsrE/DsrF-like family,-,356,685705,+,-,-,-,-,-,-,-,-,-,-,-,DrsE
Thioredoxin 1,657,Belongs to the thioredoxin family,trxA,323,686139,+,"GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0044424,GO:0044444,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748",-,ko:K03671,"ko04621,ko05418,map04621,map05418",-,-,-,"ko00000,ko00001,ko03110",-,-,"iECW_1372.ECW_m4079,iECs_1301.ECs4714,iEKO11_1354.EKO11_4576,iG2583_1286.G2583_4574,iSBO_1134.SBO_3791,iSDY_1059.SDY_3968,iSF_1195.SF3854,iSSON_1240.SSON_3952,iS_1188.S3905,iWFL_1372.ECW_m4079,iZ_1308.Z5291",Thioredoxin
hypothetical protein_283,658,Lipid A 3-O-deacylase (PagL),-,581,686486,-,-,-,-,-,-,-,-,-,-,-,-,PagL
hypothetical protein_282,659,-,-,1634,687117,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_281,660,-,-,359,689358,+,-,-,-,-,-,-,-,-,-,-,-,-
Cell division protein DamX,669,AAA domain,-,1685,697056,+,-,-,ko:K03112,-,-,-,-,ko00000,-,-,-,"AAA_22,SPOR"
hypothetical protein_623,670,Flagellar hook-length control protein FliK,-,1139,698826,+,-,-,-,-,-,-,-,-,-,-,-,Flg_hook
hypothetical protein_612,691,-,-,677,718558,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_611,692,-,-,482,719243,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_610,693,serine threonine protein kinase,-,968,719722,-,-,"2.7.11.1,3.4.16.4","ko:K03587,ko:K08884,ko:K12132","ko00550,ko01501,map00550,map01501",-,-,-,"ko00000,ko00001,ko01000,ko01001,ko01011,ko03036",-,-,-,"PASTA,Transpeptidase"
hypothetical protein_609,694,amine dehydrogenase activity,-,536,720746,-,-,-,-,-,-,-,-,-,-,-,-,Tail_P2_I
hypothetical protein_608,695,Baseplate J-like protein,-,2579,721263,-,-,-,-,-,-,-,-,-,-,-,-,Baseplate_J
hypothetical protein_256,696,GPW gp25 family protein,-,479,723857,-,-,-,ko:K06903,-,-,-,-,ko00000,-,-,-,GPW_gp25
hypothetical protein_255,697,-,-,344,724333,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_254,698,PFAM Rhs element Vgr protein,-,1508,724680,-,-,-,-,-,-,-,-,-,-,-,-,Phage_GPD
hypothetical protein_253,699,LysM domain,-,734,726185,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_252,700,-,-,1151,726919,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_251,701,T4-like virus tail tube protein gp19,-,497,728076,-,-,-,-,-,-,-,-,-,-,-,-,Phage_T4_gp19
hypothetical protein_250,702,Phage tail sheath protein,-,1226,728655,-,-,-,ko:K06907,-,-,-,-,ko00000,-,-,-,"Phage_sheath_1,Phage_sheath_1C"
hypothetical protein_249,703,-,-,716,729909,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_248,709,-,-,329,734382,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_247,710,COG0189 Glutathione synthase Ribosomal protein S6 modification enzyme (glutaminyl transferase),-,947,734760,+,-,-,-,-,-,-,-,-,-,-,-,RimK
hypothetical protein_9,711,"Peptidase C39, bacteriocin processing",-,659,735756,+,-,-,ko:K06992,-,-,-,-,ko00000,-,-,-,Peptidase_C39
hypothetical protein_4,712,chlorophyll binding,-,1103,736620,+,-,-,-,-,-,-,-,-,-,-,-,DUF4157
Transcriptional regulatory protein DegU,713,Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,-,809,737685,-,-,-,-,-,-,-,-,-,-,-,-,GerE
ATP-dependent DNA helicase RecQ,722,"TIGRFAM ATP-dependent DNA helicase, RecQ",-,1889,746891,-,-,3.6.4.12,ko:K03654,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DEAD,HRDC,HTH_40,Helicase_C,RQC,RecQ_Zn_bind"
hypothetical protein_522,724,TIGRFAM Diguanylate cyclase,-,989,749335,-,-,-,-,-,-,-,-,-,-,-,-,"GGDEF,PAS_3,PAS_4,PAS_9"
Tyrosine recombinase XerC,725,Belongs to the 'phage' integrase family,-,1001,750439,-,-,-,-,-,-,-,-,-,-,-,-,"Phage_int_SAM_1,Phage_integrase"
Chromosome partition protein Smc_523,726,Plasmid replication region DNA-binding N-term,-,1043,751629,+,-,-,-,-,-,-,-,-,-,-,-,KfrA_N
Flavohemoprotein_524,727,Flavodoxin,-,2420,752707,-,-,1.8.1.2,ko:K00380,"ko00920,ko01100,ko01120,map00920,map01100,map01120",M00176,R00858,RC00065,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Flavodoxin_1,NAD_binding_1,PepSY_TM"
Fe(3+)-pyochelin receptor,728,TonB dependent receptor,-,2198,755156,-,-,-,-,-,-,-,-,-,-,-,-,"Plug,TonB_dep_Rec"
ABC transporter ATP-binding/permease protein YojI,729,pfam abc,-,1685,757502,-,-,-,ko:K06159,"ko02010,map02010",-,-,-,"ko00000,ko00001,ko02000",3.A.1.113.3,-,-,"ABC_membrane,ABC_tran"
hypothetical protein_216,730,TIGRFAM Amino acid adenylation,-,173,759184,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Tyrocidine synthase 3,736,TIGRFAM Amino acid adenylation,-,3230,776550,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
D-alanine--D-alanyl carrier protein ligase,737,TIGRFAM Amino acid adenylation,-,9224,779785,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Protein MbtH,738,MbtH-like protein,-,215,789182,+,-,-,ko:K05375,"ko00261,ko01130,map00261,map01130",M00736,R10880,"RC00064,RC00141,RC03296,RC03297,RC03298","ko00000,ko00001,ko00002",-,-,-,MbtH
Aculeacin-A acylase,739,penicillin amidase,-,2498,789407,+,-,3.5.1.11,ko:K01434,"ko00311,ko01130,map00311,map01130",-,R02170,"RC00166,RC00328","ko00000,ko00001,ko01000,ko01002",-,-,-,Penicil_amidase
hypothetical protein_471,740,Taurine catabolism dioxygenase TauD TfdA,-,998,791891,-,-,-,-,-,-,-,-,-,-,-,-,TauD
hypothetical protein_472,741,Belongs to the P-Pant transferase superfamily,-,704,793510,+,-,-,-,-,-,-,-,-,-,-,-,ACPS
DNA polymerase IV,743,"Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII",dinB,1055,794709,+,-,2.7.7.7,ko:K02346,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"IMS,IMS_C,IMS_HHH"
Arginine N-succinyltransferase,744,Arginine N-succinyltransferase beta subunit,-,1025,795836,-,-,-,-,-,-,-,-,-,-,-,-,AstA
Succinyl-diaminopimelate desuccinylase,745,COG0624 Acetylornithine deacetylase Succinyl-diaminopimelate desuccinylase and related deacylases,cpg2,1334,796858,-,-,3.4.17.11,ko:K01295,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"M20_dimer,Peptidase_M20,Peptidase_M28"
hypothetical protein_127,747,RESPONSE REGULATOR receiver,-,359,799805,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_128,748,Putative diguanylate phosphodiesterase,-,1745,800291,+,-,-,-,-,-,-,-,-,-,-,-,"EAL,GGDEF"
NADH-quinone oxidoreductase chain 3,765,"TIGRFAM NADH-quinone oxidoreductase, chain G",-,2396,819411,-,-,1.6.5.3,ko:K00336,"ko00190,ko01100,map00190,map01100",M00144,R11945,RC00061,"ko00000,ko00001,ko00002,ko01000",3.D.1,-,-,"Fer2_4,Molybdopterin,Molydop_binding,NADH-G_4Fe-4S_3"
hypothetical protein_473,779,-,-,272,832943,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_474,790,-,-,452,845885,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_129,792,Type II transport protein GspH,-,503,847166,+,-,-,ko:K08084,-,-,-,-,"ko00000,ko02044",3.A.15.2,-,-,"GspH,N_methyl"
hypothetical protein_130,794,Type IV Pilus-assembly protein W,-,1037,848188,+,-,-,ko:K02672,-,-,-,-,"ko00000,ko02035,ko02044",-,-,-,"N_methyl,PilW"
hypothetical protein_475,795,Type IV pilus assembly protein PilX C-term,-,548,849281,+,-,-,ko:K02673,-,-,-,-,"ko00000,ko02035,ko02044",-,-,-,"PilX,PilX_N"
Type IV pilus biogenesis factor PilY1,796,"Tfp pilus assembly protein, tip-associated adhesin PilY1",-,3572,849892,+,-,-,ko:K02674,-,-,-,-,"ko00000,ko02035,ko02044",-,-,-,Neisseria_PilC
hypothetical protein_131,797,-,-,320,853602,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_476,798,TIGRFAM prepilin-type N-terminal cleavage methylation domain,-,440,854159,+,-,-,ko:K02655,-,-,-,-,"ko00000,ko02035,ko02044",3.A.15.2,-,-,"ComP_DUS,N_methyl"
hypothetical protein_477,799,protein transport across the cell outer membrane,fimT,557,854849,+,-,-,ko:K08084,-,-,-,-,"ko00000,ko02044",3.A.15.2,-,-,"GspH,N_methyl"
Phosphoserine phosphatase 1,814,phosphoglycerate mutase,-,689,867472,-,-,5.4.2.12,ko:K15634,"ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00002,M00003",R01518,RC00536,"ko00000,ko00001,ko00002,ko01000",-,-,-,His_Phos_1
hypothetical protein_538,818,-,-,179,870378,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_539,819,-,-,482,870826,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_540,823,-,-,782,874050,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_541,824,Domain of unknown function DUF302,-,458,874866,+,-,-,-,-,-,-,-,-,-,-,-,DUF302
Putative asparagine synthetase [glutamine-hydrolyzing],825,"Asparagine synthase, glutamine-hydrolyzing",-,1982,875482,+,-,6.3.5.4,ko:K01953,"ko00250,ko01100,ko01110,map00250,map01100,map01110",-,R00578,RC00010,"ko00000,ko00001,ko01000,ko01002",-,-,-,"Asn_synthase,GATase_7"
hypothetical protein_159,827,Sulfotransferase family,-,1010,878959,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_160,828,2OG-Fe(II) oxygenase superfamily,-,722,879959,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_542,829,Nucleoside-diphosphate-sugar epimerase,-,1166,880762,-,-,-,ko:K07276,-,-,-,-,ko00000,-,-,-,Mito_fiss_Elm1
hypothetical protein_543,830,Mitochondrial fission ELM1,-,2555,881925,-,-,-,ko:K07276,-,-,-,-,ko00000,-,-,-,Mito_fiss_Elm1
hypothetical protein_544,831,Sulfotransferase domain,-,953,884705,+,-,-,-,-,-,-,-,-,-,-,-,Sulfotransfer_1
Ribonuclease VapC11,833,Toxic component of a toxin-antitoxin (TA) module. An RNase,-,413,885749,-,-,-,-,-,-,-,-,-,-,-,-,PIN
hypothetical protein_545,834,"Bacterial antitoxin of type II TA system, VapB",-,221,886149,-,-,-,-,-,-,-,-,-,-,-,-,VapB_antitoxin
D-inositol-3-phosphate glycosyltransferase_217,835,glycosyl transferase group 1,-,1298,886496,+,-,-,-,-,-,-,-,-,-,-,-,"Glyco_transf_4,Glycos_transf_1"
hypothetical protein_547,837,glycosyl transferase family 2,-,1046,889106,-,-,-,-,-,-,-,-,-,-,-,-,Glycos_transf_2
hypothetical protein_548,838,-,-,890,890429,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_549,840,-,-,341,892102,-,-,-,-,-,-,-,-,-,-,-,-,-
Isopentenyl-diphosphate Delta-isomerase,845,NUDIX domain,-,503,898634,+,-,-,-,-,-,-,-,-,-,-,-,NUDIX
hypothetical protein_550,846,Iron permease FTR1,-,1904,899335,+,-,-,ko:K07243,-,-,-,-,"ko00000,ko02000","2.A.108.1,2.A.108.2",-,-,"Cytochrome_CBB3,FTR1"
Aspartate-proton symporter,847,PFAM amino acid permease-associated region,-,1700,901357,-,-,-,ko:K03294,-,-,-,-,ko00000,2.A.3.2,-,-,AA_permease_2
hypothetical protein_359,877,-,-,266,934129,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_360,878,-,-,110,934385,-,-,-,-,-,-,-,-,-,-,-,-,-
Peptide transporter CstA,879,5TM C-terminal transporter carbon starvation CstA,-,1706,934530,-,-,-,-,-,-,-,-,-,-,-,-,"CstA,CstA_5TM"
Phosphoenolpyruvate guanylyltransferase,882,Uncharacterized protein conserved in bacteria (DUF2064),-,698,938512,-,-,-,ko:K09931,-,-,-,-,ko00000,-,-,-,DUF2064
hypothetical protein_3,886,Bacterial-like globin,-,407,940936,+,-,-,ko:K06886,-,-,-,-,ko00000,-,-,-,Bac_globin
Trans-aconitate 2-methyltransferase,888,Methyltransferase domain,-,1058,942511,-,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_31
hypothetical protein_303,891,-,-,431,944963,-,-,-,-,-,-,-,-,-,-,-,-,-
HTH-type transcriptional regulator CueR,892,Transcriptional regulator,-,449,945548,-,-,-,-,-,-,-,-,-,-,-,-,"MerR,MerR-DNA-bind"
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase_564",894,"Serine aminopeptidase, S33",-,878,947307,-,-,-,-,-,-,-,-,-,-,-,-,Abhydrolase_1
Protein MtfA,896,Belongs to the MtfA family,-,809,948922,-,-,-,ko:K09933,-,-,-,-,"ko00000,ko01002",-,-,-,Peptidase_M90
hypothetical protein_451,898,Aminoacyl-tRNA editing domain,-,455,951022,+,-,-,ko:K19055,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,tRNA_edit
Glutamate--cysteine ligase EgtA,899,glutamate--cysteine ligase,gsh1,1367,951484,-,-,6.3.2.2,ko:K01919,"ko00270,ko00480,ko01100,map00270,map00480,map01100",M00118,"R00894,R10993","RC00064,RC00090","ko00000,ko00001,ko00002,ko01000",-,-,-,GCS2
putative protein_450,900,AAA domain,-,1544,953050,-,-,-,ko:K07028,-,-,-,-,ko00000,-,-,-,"AAA_33,APH"
