,Gene Start,Gene Size,Strand,Gene Product,Accession
544,2082967,281,-,hypothetical protein_401,2028
545,2088116,167,+,hypothetical protein_402,2031
546,2088476,437,+,hypothetical protein_403,2032
547,2088932,1406,-,hypothetical protein_229,2033
548,2090547,356,-,hypothetical protein_404,2034
549,2091014,1553,+,hypothetical protein_405,2035
550,2093704,1283,-,Anaerobic nitric oxide reductase transcription regulator NorR,2037
551,2094984,3050,-,Vitamin B12 import ATP-binding protein BtuD_406,2038
552,2098142,752,-,Foldase protein PrsA_407,2039
553,2098936,1385,-,"Hemolysin secretion protein D, chromosomal",2040
554,2100311,2411,-,hypothetical protein_408,2041
555,2102759,1478,-,putative efflux pump outer membrane protein TtgC,2042
556,2104381,302,-,hypothetical protein_409,2043
557,2104764,251,-,hypothetical protein_410,2044
558,2105432,773,+,Iron-sulfur cluster carrier protein,2045
559,2106199,1046,+,hypothetical protein_411,2046
560,2107242,524,-,hypothetical protein_412,2047
561,2107945,593,-,hypothetical protein_413,2048
562,2108963,263,-,hypothetical protein_414,2049
563,2109502,263,+,hypothetical protein_415,2050
564,2109956,704,+,Demethylmenaquinone methyltransferase,2051
565,2110681,986,-,hypothetical protein_95,2052
566,2111687,737,-,hypothetical protein_96,2053
567,2112741,686,+,Phosphate regulon transcriptional regulatory protein PhoB,2054
568,2113489,560,-,hypothetical protein_232,2055
569,2127083,905,-,hypothetical protein_398,2064
570,2128359,713,-,hypothetical protein_399,2065
571,2129069,791,-,DNA-3-methyladenine glycosylase 2,2066
572,2147042,275,+,hypothetical protein_37,2083
573,2150095,2126,+,hypothetical protein_310,2087
574,2153596,1025,+,Hydroxyacylglutathione hydrolase_311,2090
575,2203615,1076,+,"1,2-phenylacetyl-CoA epoxidase, subunit E",2137
576,2204892,767,+,hypothetical protein_51,2138
577,2206329,224,-,hypothetical protein_50,2140
578,2206805,725,+,hypothetical protein_319,2141
579,2207527,713,+,hypothetical protein_318,2142
580,2209499,878,+,hypothetical protein_49,2144
581,2210427,215,-,Molybdenum-pterin-binding protein 2,2145
582,2210680,821,-,Molybdate-binding protein ModA,2146
583,2218853,1994,-,hypothetical protein_601,2153
584,2224753,632,-,Thiol:disulfide interchange protein DsbA,2157
585,2225584,635,-,Cytochrome c4,2158
586,2231006,383,+,hypothetical protein_599,2162
587,2235346,977,+,Lipid A biosynthesis lauroyltransferase,2165
588,2245462,530,-,ATP synthase subunit delta,2173
589,2246003,464,-,ATP synthase subunit b,2174
590,2246544,299,-,"ATP synthase subunit c, sodium ion specific",2175
591,2246908,785,-,ATP synthase subunit a,2176
592,2247690,401,-,hypothetical protein_48,2177
593,2250000,677,-,Ribosomal RNA small subunit methyltransferase G,2180
594,2277435,425,-,putative protein YibN,2205
595,2283055,638,-,Ubiquinone biosynthesis accessory factor UbiJ,2210
596,2287955,689,-,hypothetical protein_98,2216
597,2290952,146,-,hypothetical protein_635,2219
598,2295399,548,-,Virginiamycin B lyase,2224
599,2297814,1052,+,hypothetical protein_97,2226
600,2298863,1262,+,Protein HemY,2227
601,2325667,1403,+,putative zinc protease,2253
602,2327067,1331,+,hypothetical protein_188,2254
603,2328407,584,+,Ribosomal RNA small subunit methyltransferase D,2255
604,2407576,635,-,hypothetical protein_274,2328
605,2409231,1415,-,hypothetical protein_22,2330
606,2410732,719,-,hypothetical protein_195,2331
607,2412181,1046,+,hypothetical protein_21,2333
608,2413288,1967,+,Squalene--hopene cyclase,2334
609,2415252,746,+,hypothetical protein_20,2335
610,2418503,920,+,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,2337
611,2419486,1157,+,"GTP 3',8-cyclase",2338
612,2420666,1121,+,hypothetical protein_273,2339
613,2427595,1319,+,Chromosome partition protein Smc,2344
614,2440811,893,-,hypothetical protein_271,2364
615,2441890,1247,+,Sensor histidine kinase RegB,2365
616,2443156,539,+,Photosynthetic apparatus regulatory protein RegA,2366
617,2443855,1244,-,hypothetical protein_270,2367
618,2445307,599,+,Hydroxyacylglutathione hydrolase,2368
619,2445914,1769,+,putative sulfate transporter,2369
620,2449788,551,-,hypothetical protein_269,2371
621,2450402,1457,-,Sensor histidine kinase GlrK,2372
622,2462139,1307,-,hypothetical protein_268,2383
623,2463430,665,-,Acyl carrier protein phosphodiesterase,2384
624,2464123,422,-,hypothetical protein_267,2385
625,2466577,614,-,hypothetical protein_636,2388
626,2470866,464,-,hypothetical protein_324,2393
627,2488011,494,+,hypothetical protein_223,2411
628,2488586,2363,-,Polyphosphate kinase,2412
629,2491159,1520,-,hypothetical protein_358,2413
630,2494638,284,+,hypothetical protein_439,2416
631,2495674,536,+,putative protein_440,2418
632,2496578,785,-,"4,5-DOPA dioxygenase extradiol",2419
633,2497461,1832,-,Trehalase,2420
634,2499427,1994,-,hypothetical protein_441,2421
635,2502346,2189,+,Actin cross-linking toxin VgrG1,2423
636,2504563,476,+,hypothetical protein_442,2424
637,2505050,1115,+,hypothetical protein_443,2425
638,2506162,1046,+,hypothetical protein_444,2426
639,2509180,1250,+,hypothetical protein_445,2429
640,2510565,1037,+,hypothetical protein_446,2430
641,2514304,791,+,hypothetical protein_447,2434
642,2521596,1430,+,hypothetical protein_380,2440
643,2529765,1508,+,hypothetical protein_381,2445
644,2535925,614,+,putative MFS-type transporter YcaD,2449
645,2536687,389,+,hypothetical protein_383,2450
646,2543983,1103,-,Efflux pump periplasmic linker BepF,2453
647,2545414,1259,-,Putative serine protease HtrA,2454
648,2561359,695,-,hypothetical protein_90,2465
649,2562761,1052,-,Poly(3-hydroxyalkanoate) polymerase subunit PhaC,2466
650,2563810,854,-,hypothetical protein_384,2467
651,2564749,1643,-,Beta-barrel assembly-enhancing protease,2468
652,2604644,593,+,"RNA 2',3'-cyclic phosphodiesterase",2504
653,2606349,488,+,Regulatory protein RecX,2506
654,2612055,731,-,6-phosphogluconolactonase,2512
655,2612911,995,-,Glucokinase,2513
656,2613975,1016,-,"6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating",2514
657,2615301,353,-,hypothetical protein_122,2515
658,2616863,536,-,hypothetical protein_124,2517
659,2617447,479,-,hypothetical protein_125,2518
660,2637946,875,+,hypothetical protein_180,2542
661,2638931,563,+,hypothetical protein_220,2543
662,2639557,317,-,hypothetical protein_583,2544
663,2640596,1286,+,D-inositol-3-phosphate glycosyltransferase_179,2546
664,2641894,737,+,Trans-aconitate 2-methyltransferase_178,2547
665,2642628,1124,-,D-inositol-3-phosphate glycosyltransferase,2548
666,2644769,581,+,hypothetical protein_582,2551
667,2645441,713,-,hypothetical protein_580,2552
668,2648890,170,-,hypothetical protein_581,2556
669,2656914,1301,-,lipid II flippase MurJ,2569
670,2659533,350,-,hypothetical protein_588,2573
671,2659921,251,-,hypothetical protein_194,2574
672,2661359,401,-,Ribonuclease VapC15,2576
673,2662735,566,-,hypothetical protein_587,2580
674,2663861,1799,-,putative ABC transporter ATP-binding protein,2581
675,2667452,131,-,hypothetical protein_364,2583
676,2668560,191,-,hypothetical protein_365,2585
677,2694736,320,+,hypothetical protein_341,2611
678,2696081,1136,-,hypothetical protein_340,2614
679,2697419,1478,-,hypothetical protein_61,2615
680,2699169,446,+,hypothetical protein_60,2616
681,2700824,848,-,Ribosomal RNA small subunit methyltransferase J,2618
682,2715787,578,+,hypothetical protein_449,2631
683,2716959,548,+,hypothetical protein_448,2633
684,2722855,950,-,hypothetical protein_296,2638
685,2724296,632,-,5-formyltetrahydrofolate cyclo-ligase,2640
686,2725284,290,-,hypothetical protein_295,2641
687,2725636,803,-,Uroporphyrinogen-III synthase,2642
688,2729089,1253,+,2-octaprenyl-6-methoxyphenol hydroxylase,2647
689,2730339,1190,+,2-octaprenylphenol hydroxylase,2648
690,2748169,431,-,Putative pre-16S rRNA nuclease,2667
691,2749240,857,-,hypothetical protein_171,2669
692,2751151,989,-,hypothetical protein_569,2671
693,2753263,554,+,hypothetical protein_568,2674
694,2761620,473,+,hypothetical protein_137,2677
695,2775105,620,+,Acyl-homoserine-lactone synthase,2687
696,2775999,2132,+,hypothetical protein_138,2688
697,2778999,689,+,Phosphoglycolate phosphatase,2690
698,2785286,506,+,hypothetical protein_139,2696
699,2787449,659,+,Thiopurine S-methyltransferase,2698
700,2789049,566,+,hypothetical protein_493,2700
701,2791435,1052,+,hypothetical protein_140,2703
702,2818558,515,+,Peptide methionine sulfoxide reductase MsrA,2730
703,2819362,773,+,hypothetical protein_464,2731
704,2820219,1595,-,hypothetical protein_465,2732
705,2822387,743,+,Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA,2734
706,2823127,1532,+,hypothetical protein_578,2735
707,2824678,647,-,hypothetical protein_579,2736
708,2825984,1616,+,Fatty acid resistance protein FarB,2737
709,2827597,1547,+,Outer membrane protein OprM,2738
710,2829206,1115,+,Multidrug export protein EmrA,2739
711,2841380,1418,+,hypothetical protein_302,2748
712,2842795,542,+,Thiol-disulfide oxidoreductase ResA,2749
713,2854879,629,+,hypothetical protein_196,2762
714,2855533,860,+,hypothetical protein_280,2763
715,2858074,308,+,hypothetical protein_279,2766
716,2859403,1061,+,Vitamin B12 import ATP-binding protein BtuD,2768
717,2860740,167,-,hypothetical protein_201,2769
718,2861016,248,-,hypothetical protein_278,2770
719,2862045,809,-,Molybdenum-pterin-binding protein MopA,2771
720,2863905,995,-,Cyclic di-GMP phosphodiesterase CdgJ,2773
721,2868915,263,+,hypothetical protein_24,2779
722,2869184,440,+,hypothetical protein_23,2780
723,2869590,323,+,hypothetical protein_277,2781
724,2872891,1397,+,Outer membrane protein TolC,2784
725,2883151,257,+,hypothetical protein_312,2796
726,2884191,2081,+,Vitamin B12 transporter BtuB_514,2797
727,2894133,491,+,hypothetical protein_208,2807
728,2895727,239,+,hypothetical protein_102,2809
729,2898127,194,-,hypothetical protein_420,2812
730,2898494,419,+,hypothetical protein_421,2813
731,2899025,635,+,hypothetical protein_101,2814
732,2899694,1241,-,Kynureninase,2815
733,2901038,911,+,Isoaspartyl peptidase,2816
734,2901971,902,-,"Tryptophan 2,3-dioxygenase",2817
735,2906687,785,+,hypothetical protein_422,2821
736,2907482,761,+,Tol-Pal system protein TolQ,2822
737,2908247,503,+,Tol-Pal system protein TolR,2823
738,2909255,539,-,hypothetical protein_233,2824
739,2911304,419,-,hypothetical protein_193,2827
740,2917772,791,-,Peptidoglycan-associated lipoprotein,2829
741,2918560,386,-,hypothetical protein_258,2830
742,2919125,854,-,Glutamate racemase,2831
743,2920023,653,-,hypothetical protein_10,2832
744,2920743,575,-,hypothetical protein_259,2833
745,2922416,2897,+,hypothetical protein_11,2835
746,2925316,986,+,hypothetical protein_12,2836
747,2926302,1184,+,Putative phospholipase A1,2837
748,2927556,323,-,Ferredoxin 1,2838
749,2927983,569,-,hypothetical protein_13,2839
750,2928965,608,+,hypothetical protein_14,2840
751,2931106,224,+,hypothetical protein_567,2843
752,2931782,191,+,hypothetical protein_566,2845
753,2934376,659,+,putative lipoprotein YiaD,2848
754,2938566,554,+,hypothetical protein_301,2852
755,2943511,539,+,hypothetical protein_456,2856
756,2966772,1373,+,hypothetical protein_637,2874
757,2968343,266,+,Antitoxin HigA,2875
758,2973937,1400,-,hypothetical protein_260,2886
759,2979521,629,-,hypothetical protein_166,2890
760,2980175,914,-,hypothetical protein_167,2891
761,2985129,464,+,Bacterioferritin,2895
762,2985748,1307,+,putative M18 family aminopeptidase 2,2896
763,2987066,998,+,Bifunctional ligase/repressor BirA,2897
764,2988061,752,+,Type III pantothenate kinase,2898
765,3008323,1160,-,hypothetical protein_218,2917
766,3009664,314,+,hypothetical protein_170,2918
767,3010106,1736,-,hypothetical protein_565,2919
768,3012053,419,+,hypothetical protein_527,2920
769,3012552,899,-,hypothetical protein_526,2921
770,3014367,1217,-,Putative acyl-CoA dehydrogenase YdbM,2923
771,3015700,1055,-,hypothetical protein_525,2924
772,3016752,440,-,hypothetical protein_238,2925
773,3017207,1244,-,Putrescine aminotransferase,2926
774,3018852,1634,-,Protein adenylyltransferase SelO,2927
775,3024268,1199,-,hypothetical protein_177,2931
776,3025706,965,-,Cobalt/magnesium transport protein CorA,2932
777,3029236,2915,-,Fatty acid oxidation complex subunit alpha,2935
778,3040961,296,-,hypothetical protein_521,2945
779,3044451,395,-,hypothetical protein_419,2950
780,3045542,848,+,hypothetical protein_100,2952
781,3046433,806,+,hypothetical protein_99,2953
782,3067979,320,+,"Toluene 1,2-dioxygenase system ferredoxin subunit",2973
783,3068317,245,+,hypothetical protein_418,2974
784,3084929,596,-,hypothetical protein_485,2988
785,3086702,1445,-,putative type I restriction enzymeP M protein,2991
786,3088160,155,-,hypothetical protein_209,2992
787,3088306,518,-,REP-associated tyrosine transposase,2993
788,3090675,2765,-,hypothetical protein_484,2996
789,3128118,317,+,hypothetical protein_204,3036
790,3129064,566,+,hypothetical protein_639,3039
791,3129575,263,+,hypothetical protein_640,3040
792,3129853,266,+,hypothetical protein_641,3041
793,3130645,1676,+,"NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic",3043
794,3132324,749,+,hypothetical protein_642,3044
795,3133070,3116,+,hypothetical protein_643,3045
796,3136183,326,+,hypothetical protein_644,3046
797,3157361,1616,-,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,3075
798,3163025,434,-,DNA polymerase III subunit chi,3079
799,3167301,476,-,hypothetical protein_293,3083
800,3188380,1073,+,hypothetical protein_560,3104
801,3189719,1025,+,hypothetical protein_241,3105
802,3191454,686,+,hypothetical protein_645,3107
803,3257225,2306,+,LPS-assembly protein LptD,3161
804,3259709,1292,+,Chaperone SurA,3162
805,3262036,815,+,Ribosomal RNA small subunit methyltransferase A,3164
806,3264455,1022,+,N-acetylmuramate/N-acetylglucosamine kinase,3167
807,3310973,353,+,Primosomal replication protein N,3205
808,3311600,881,+,hypothetical protein_191,3207
809,3324929,1937,+,Peptidyl-prolyl cis-trans isomerase D,3224
810,3329911,878,+,hypothetical protein_606,3227
811,3330859,3656,+,Respiratory nitrate reductase 1 alpha chain,3228
812,3334596,1538,+,Respiratory nitrate reductase 1 beta chain,3229
813,3336136,794,+,hypothetical protein_163,3230
814,3336943,689,+,Nitrate reductase-like protein NarX,3231
815,3337962,584,+,DNA polymerase III subunit epsilon,3232
816,3359023,854,-,15-cis-phytoene synthase,3251
817,3360020,740,-,N-acetylmuramic acid 6-phosphate phosphatase,3252
818,3378305,296,+,Lipopolysaccharide assembly protein A,3268
819,3379631,260,+,hypothetical protein_593,3270
820,3381442,323,+,hypothetical protein_243,3272
821,3381825,497,-,hypothetical protein_592,3273
822,3383109,230,+,hypothetical protein_591,3274
823,3383563,524,-,Superoxide dismutase [Cu-Zn] 1,3275
824,3400945,1529,-,GTPase Der,3295
825,3402474,1550,-,hypothetical protein_92,3296
826,3405406,344,-,hypothetical protein_387,3299
827,3408154,278,+,Antitoxin VapB33,3303
828,3408429,434,+,Ribonuclease VapC33,3304
829,3408934,131,-,hypothetical protein_646,3305
830,3409150,5135,-,hypothetical protein_385,3306
831,3426039,632,+,Trans-aconitate 2-methyltransferase_386,3312
832,3426960,650,+,ATP-dependent dethiobiotin synthetase BioD,3313
833,3427631,1298,+,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,3314
834,3433387,1385,-,Cardiolipin synthase,3321
835,3434736,752,-,hypothetical protein_202,3322
836,3435645,1520,-,Phenylacetaldehyde dehydrogenase,3323
837,3440776,3236,+,Cation efflux system protein CusA,3327
838,3444771,398,+,hypothetical protein_602,3329
839,3457973,1052,-,hypothetical protein_500,3345
840,3459450,542,+,hypothetical protein_235,3346
841,3460086,1055,-,Arsenite methyltransferase,3347
842,3461280,653,-,Response regulator protein TodT,3348
843,3461940,2024,-,Adaptive-response sensory-kinase SasA_501,3349
844,3464158,2177,+,hypothetical protein_150,3350
845,3466332,977,+,Dipeptide transport system permease protein DppB,3351
846,3467420,1388,+,hypothetical protein_502,3352
847,3468805,2090,+,putative ABC transporter ATP-binding protein_503,3353
848,3472723,287,+,hypothetical protein_613,3355
849,3473050,416,+,hypothetical protein_614,3356
850,3508916,584,-,hypothetical protein_392,3400
851,3511218,407,-,hypothetical protein_391,3402
852,3520150,1001,+,Acetylpolyamine amidohydrolase 2,3412
853,3524325,2270,+,ComE operon protein 3,3417
854,3529537,995,+,Tetraacyldisaccharide 4'-kinase,3421
855,3535226,959,+,Ribosomal large subunit pseudouridine synthase C,3425
856,3537091,530,+,Large ribosomal RNA subunit accumulation protein YceD,3428
857,3545570,1073,+,DNA polymerase III subunit delta',3438
858,3550084,596,+,Cytochrome c oxidase subunit 3,3442
859,3550683,257,+,hypothetical protein_519,3443
860,3550959,1325,-,hypothetical protein_520,3444
861,3552291,1157,-,hypothetical protein_155,3445
862,3553468,740,-,putative ABC transporter ATP-binding protein YknY,3446
863,3554171,1235,-,Multidrug resistance protein MdtA,3447
864,3555572,704,-,hypothetical protein_156,3448
865,3568280,1259,+,ATP-dependent Clp protease ATP-binding subunit ClpX,3460
866,3574400,1694,+,Beta-barrel assembly-enhancing protease_169,3465
867,3576094,605,+,Outer-membrane lipoprotein LolB,3466
868,3588560,1238,+,hypothetical protein_468,3486
869,3589771,2645,+,hypothetical protein_467,3487
870,3593073,368,+,Sensor histidine kinase RcsC_466,3488
